"synset","rating","words__-","words"
"385791","0.0","division",""
"1221290","0.0","analogous",""
"1069190","0.0","connect",""
"2006933","0.0","","interconnected"
"","","","interrelated"
"1290009","0.0","tether",""
"13981137","0.0","","clash"
"","","","friction"
"642357","0.0","halve",""
"238189","0.0","joint",""
"2747922","0.0","","continue"
"","","","persist in"
"378985","0.0","","combination"
"","","","combining"
"","","","compounding"
"13810818","0.0","","remainder"
"","","","balance"
"","","","residual"
"","","","residue"
"","","","residuum"
"","","","rest"
"413195","0.0","","adopt"
"","","","take in"
"2449340","0.0","","exclude"
"","","","keep out"
"","","","shut out"
"","","","shut"
"2476485","0.0","","allied"
"","","","confederate"
"","","","confederative"
"2380358","0.0","","serial"
"","","","in series"
"","","","nonparallel"
"15256022","0.0","","top"
"","","","top of the inning"
"1904485","0.0","","hybrid"
"","","","intercrossed"
"138221","0.0","","kiss"
"","","","buss"
"","","","osculation"
"785690","0.0","","spy"
"","","","stag"
"","","","snoop"
"","","","sleuth"
"29367","0.0","","furthermore"
"","","","moreover"
"","","","what is more"
"520019","0.0","","interrupt"
"","","","disturb"
"2327200","0.0","","supply"
"","","","provide"
"","","","render"
"","","","furnish"
"1176219","0.0","","beating"
"","","","whipping"
"7328942","0.0","","creation"
"","","","conception"
"1970348","0.0","","rise"
"","","","come up"
"","","","uprise"
"","","","ascend"
"1207951","0.0","","cover"
"","","","spread over"
"763399","0.0","","settle"
"","","","square off"
"","","","square up"
"","","","determine"
"1541000","0.0","incorporate",""
"1327371","0.0","separate",""
"7958407","0.0","pair",""
"447472","0.0","","adjacent"
"","","","next"
"","","","side by side"
"7966927","0.0","","business"
"","","","business sector"
"1843497","0.0","","repair"
"","","","resort"
"8221897","0.0","audience",""
"1447632","0.0","","press"
"","","","push"
"498387","0.0","","between"
"","","","betwixt"
"728225","0.0","","autonomous"
"","","","self-directed"
"","","","self-reliant"
"452883","0.0","","dear"
"","","","good"
"","","","near"
"6266417","0.0","","journalism"
"","","","news media"
"2699497","0.0","","represent"
"","","","stand for"
"","","","correspond"
"160440","0.0","closely",""
"5732756","0.0","","classification"
"","","","categorization"
"","","","categorisation"
"","","","sorting"
"54483","0.0","retreat",""
"13477462","0.0","","execution"
"","","","instruction execution"
"1640855","0.0","","carry through"
"","","","accomplish"
"","","","execute"
"","","","carry out"
"","","","action"
"","","","fulfill"
"","","","fulfil"
"1526956","0.0","","pad"
"","","","fill out"
"37653","0.0","progressive",""
"819274","0.0","conservation",""
"7227772","0.0","","assurance"
"","","","pledge"
"7999291","0.0","sex",""
"3075634","0.0","combine",""
"5798569","0.0","","control condition"
"","","","control"
"906735","0.0","","sentence"
"","","","condemn"
"","","","doom"
"5158095","0.0","preference",""
"996089","0.0","","approving"
"","","","affirmative"
"","","","approbative"
"","","","approbatory"
"","","","plausive"
"2539334","0.0","","dominate"
"","","","master"
"2494047","0.0","","free"
"","","","release"
"5916739","0.0","","impression"
"","","","feeling"
"","","","belief"
"","","","notion"
"","","","opinion"
"1095085","0.0","prepared",""
"1557774","0.0","","separate"
"","","","divide"
"","","","part"
"1673061","0.0","","average"
"","","","fair"
"","","","mediocre"
"","","","middling"
"948670","0.0","internal",""
"4204755","0.0","","short circuit"
"","","","short"
"935456","0.0","","come out of the closet"
"","","","out"
"","","","come out"
"13982692","0.0","divide",""
"2277607","0.0","","specialized"
"","","","specialised"
"776523","0.0","","charm"
"","","","influence"
"","","","tempt"
"120474","0.0","","systematically"
"","","","consistently"
"65370","0.0","have",""
"5793554","0.0","","basis"
"","","","base"
