Channel,videoID,videoKind,videoTitle,playlistID
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,8-AqCaavUfQ,youtube#video,Why Do You Love Your Family?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,QQOxB_ylkvs,youtube#video,20 MILLION Year-Old Spider and the Science of Spider Silk,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,P7LKm9jtm8I,youtube#video,Why Is Glacier Ice Blue? Exploring An ICE CAVE!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,xWL-zXFWClE,youtube#video,360˚ Inside an ICE CAVE!!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,L9eFkmjIIWA,youtube#video,How The Moon Controls Biological Cycles,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,ydgrFa3_MCs,youtube#video,Asteroid Mining Will Revolutionize Our Future Economy,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,mbKAwk-OG_w,youtube#video,The Cheerios Effect,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,mjSwRwAqQA4,youtube#video,A Brief History Of Time(keeping),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,#NAME?,youtube#video,How Physics Might Bring Doomsday,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,CmqbMwRK8KA,youtube#video,Why Is The Universe So Empty? (ft. PHD Comics!),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,SHqDf8wfABM,youtube#video,Do You Really Have Two Brains?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,PKIv9Cz9WQY,youtube#video,Putting Hurricane Harvey In Perspective,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,aT9T9h-2Jp8,youtube#video,DNA Doesn’t Look Like What You Think!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,73POyC_WG5A,youtube#video,How Poop Shapes the World,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,_T8eFXGnD9Y,youtube#video,When Is It Winter On Other Planets?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,h6c2UdV9LfM,youtube#video,Your Climate Change Conscience - feat. Al Gore,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,Pypd_yKGYpA,youtube#video,Why Nature Loves Hexagons,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,RnlPrdMoQ1Y,youtube#video,How Do Glaciers Move?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,Zm6X77ShHa8,youtube#video,Why BEAVERS Are The Smartest Thing In Fur Pants,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,x7SAecAIeMI,youtube#video,Why Do These Deadly Insects Look Like Flowers?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,zZvvrvxUHXc,youtube#video,Bioluminescence: Nature's Fireworks!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,52V9jmrgSbI,youtube#video,How the Pyramids Were Built (Pyramid Science Part 2!),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,DQsplQW7KGw,youtube#video,Is Space a Thing?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,5W3_H01nCsM,youtube#video,How Some Animals Engineered Air Conditioning,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,k2118KSUSF8,youtube#video,ЩΉӨ BЦIᄂƬ ƬΉΣ PYЯΛMIDƧ,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,MurFdzEpQbQ,youtube#video,The Science of De-Extinction!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,_pGNM9CTLJg,youtube#video,CRISPR and the Future of Human Evolution,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,mnYSMhR3jCI,youtube#video,Are We All Related?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,sMCgOQj37IY,youtube#video,Why Does Hair Grow The Way It Does?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,dbHj-Q1FTj8,youtube#video,Why Are We The Only Humans Left?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,WD9AYN7JnFM,youtube#video,Where Did Humans Come From?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,tggdERc8E6Y,youtube#video,How Dogs Became Our Best Friends (ft. MinuteEarth!),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,ulbUtAbOGVo,youtube#video,Why I ❤ PBS,UUH4BNI0-FOK2dMXoFtViWHw
